Frame ID,QR ID,QR 2D,QR 3D: dist,QR 3D: yaw
110,1,"[[318.0, 26.0], [369.0, 22.0], [373.0, 76.0], [322.0, 79.0]]",18.78642733257231,[[12.08669298]],[[12.08669298]]
111,1,"[[290.0, 26.0], [341.0, 22.0], [344.0, 76.0], [294.0, 79.0]]",18.805064707691642,[[16.16133371]],[[16.16133371]]
112,1,"[[263.0, 25.0], [315.0, 28.0], [315.0, 79.0], [263.0, 79.0]]",19.071191988307053,[[-9.79155837]],[[-9.79155837]]
114,1,"[[259.0, 30.0], [312.0, 35.0], [311.0, 87.0], [258.0, 83.0]]",18.932919780280148,[[-0.35404489]],[[-0.35404489]]
115,1,"[[270.0, 36.0], [322.0, 38.0], [321.0, 91.0], [270.0, 86.0]]",19.38575580834659,[[3.20965057]],[[3.20965057]]
116,1,"[[275.0, 37.0], [327.0, 40.0], [325.0, 92.0], [275.0, 89.0]]",19.346489872287002,[[-7.16348735]],[[-7.16348735]]
117,1,"[[300.0, 44.0], [346.0, 45.0], [345.0, 97.0], [300.0, 93.0]]",19.953667531138873,[[23.2335294]],[[23.2335294]]
118,1,"[[312.0, 46.0], [356.0, 48.0], [356.0, 99.0], [312.0, 97.0]]",19.74991296881676,[[27.70357928]],[[27.70357928]]
119,1,"[[351.0, 59.0], [397.0, 61.0], [396.0, 109.0], [352.0, 108.0]]",20.5130063253045,[[-17.49482146]],[[-17.49482146]]
120,1,"[[368.0, 64.0], [414.0, 64.0], [414.0, 113.0], [368.0, 112.0]]",20.37279974810097,[[13.55630632]],[[13.55630632]]
121,1,"[[384.0, 67.0], [429.0, 67.0], [431.0, 114.0], [384.0, 114.0]]",20.798427468497177,[[0.2739334]],[[0.2739334]]
122,1,"[[392.0, 67.0], [436.0, 67.0], [436.0, 114.0], [392.0, 114.0]]",20.983157940259535,[[15.62566243]],[[15.62566243]]
124,1,"[[408.0, 70.0], [449.0, 74.0], [446.0, 118.0], [404.0, 115.0]]",22.01816382367985,[[-16.96300504]],[[-16.96300504]]
125,1,"[[411.0, 75.0], [454.0, 80.0], [451.0, 127.0], [408.0, 120.0]]",20.97851152112464,[[18.37653339]],[[18.37653339]]
126,1,"[[415.0, 79.0], [456.0, 83.0], [454.0, 127.0], [412.0, 124.0]]",21.95860617128772,[[-16.75131141]],[[-16.75131141]]
127,1,"[[422.0, 85.0], [463.0, 88.0], [461.0, 131.0], [420.0, 127.0]]",22.781940877720654,[[10.81357384]],[[10.81357384]]
128,1,"[[432.0, 90.0], [473.0, 92.0], [473.0, 133.0], [432.0, 131.0]]",22.937887344169447,[[-8.16645007]],[[-8.16645007]]
129,1,"[[443.0, 93.0], [483.0, 95.0], [483.0, 135.0], [442.0, 134.0]]",23.337089220752592,[[-4.55737448]],[[-4.55737448]]
158,1,"[[486.0, 67.0], [532.0, 70.0], [529.0, 116.0], [482.0, 114.0]]",20.438582489743673,[[3.95861198]],[[3.95861198]]
162,1,"[[462.0, 64.0], [511.0, 41.0], [530.0, 91.0], [481.0, 111.0]]",18.041195948484713,[[2.89292093]],[[2.89292093]]
163,1,"[[457.0, 55.0], [508.0, 40.0], [520.0, 89.0], [469.0, 105.0]]",17.999673731909404,[[5.23045444]],[[5.23045444]]
164,1,"[[452.0, 40.0], [507.0, 36.0], [508.0, 91.0], [452.0, 95.0]]",17.04702032735037,[[9.90357553]],[[9.90357553]]
165,1,"[[445.0, 27.0], [503.0, 31.0], [499.0, 92.0], [441.0, 89.0]]",16.260450898002187,[[-11.63020461]],[[-11.63020461]]
166,1,"[[439.0, 22.0], [501.0, 21.0], [501.0, 83.0], [441.0, 85.0]]",15.79437747363748,[[-3.79436515]],[[-3.79436515]]
176,1,"[[304.0, 34.0], [352.0, 9.0], [376.0, 56.0], [327.0, 82.0]]",17.777759265557375,[[3.17107713]],[[3.17107713]]
177,1,"[[304.0, 38.0], [353.0, 23.0], [364.0, 70.0], [313.0, 86.0]]",18.25719646882952,[[13.35661465]],[[13.35661465]]
